brand,brand_tier,category,product_name,url,price,mrp,discount_pct,rating,review_count,size,tags,scraped_at
Kama Ayurveda,Premium,Skincare,kumkumadi youth-revitalising facial oil,https://www.kamaayurveda.in/kumkumadi-youth-revitalising-facial-oil.html,1895.0,1895.0,,5.0,44,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,amsuman daily shield sunscreen spf 50,https://www.kamaayurveda.in/amsuman-daily-shield-sunscreen-spf-50.html,2895.0,2895.0,,5.0,1,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,kumkumadi youth-revitalising soft cream,https://www.kamaayurveda.in/kumkumadi-youth-revitalising-soft-cream.html,2095.0,2095.0,,5.0,6,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,kumkumadi youth-recovering night balm,https://www.kamaayurveda.in/kumkumadi-youth-recovering-night-balm.html,2295.0,2295.0,,5.0,55,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,kumkumadi youth-illuminating silky serum,https://www.kamaayurveda.in/kumkumadi-youth-illuminating-silky-serums.html,2695.0,2695.0,,5.0,23,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,amarrupa line smoothing face serum,https://www.kamaayurveda.in/amarrupa-line-smoothing-face-serums.html,1995.0,1995.0,,5.0,20,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,eladhi nourishing rich cream,https://www.kamaayurveda.in/eladhi-nourishing-rich-cream.html,3125.0,3125.0,,,,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,"rose jasmine face cleanser | cleansing, refreshing and hydra..",https://www.kamaayurveda.in/rose-jasmine-face-cleanser.html,795.0,795.0,,4.5,32,,Face Wash,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,urjasara moisturising  water cream,https://www.kamaayurveda.in/urjasara-moisturising-plumping-water-cream.html,975.0,975.0,,5.0,20,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,urjasara nutritive milky essence,https://www.kamaayurveda.in/urjasara-nutritive-milky-essence.html,2850.0,2850.0,,5.0,10,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,kumkumadi youth-clarifying mask-scrub | 2 in 1 mask scrub,https://www.kamaayurveda.in/kumkumadi-youth-clarifying-mask-scrub-2-in-1-mask-scrub.html,3695.0,3695.0,,5.0,36,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,amarrupa wrinkle-correcting facial oil,https://www.kamaayurveda.in/amarrupa-wrinkle-correcting-facial-oil.html,3995.0,3995.0,,5.0,13,,New & Improved,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,amarrupa wrinkle-correcting eye cream,https://www.kamaayurveda.in/amarrupa-wrinkle-correcting-eye-cream.html,3195.0,3195.0,,,,,New,2026-07-28 00:35:58
Kama Ayurveda,Premium,Skincare,kumkumadi youth-revitalising eye contour serum,https://www.kamaayurveda.in/kumkumadi-youth-revitalising-eye-contour-serum.html,3795.0,3795.0,,5.0,4,,New,2026-07-28 00:35:58
