brand,product_type,collection,product_name,subtitle,url,price,rating,size,tags,variant_id,scraped_at
Vedix,Anti-Hairfall Shampoo,Hair Shampoo,Dhavath Shampoo With Bhringraj & Aloe Vera,Prevents hair breakage l Strengthens strands,https://www.vedix.com/products/dhavath-hairfall-shampoo-for-women-store,399.0,4.5,100 ml,Normal-Oily Scalp | Hairfall,41295460892739,2026-07-28 01:03:39
Vedix,Anti-Hairfall Shampoo,Hair Shampoo,Vikleda Shampoo With Triphala & Jojoba,Repairs damaged hair l Adds softness & shine,https://www.vedix.com/products/vikleda-deep-conditioning-shampoo-for-dry-hair-for-women-store,399.0,4.5,100 ml,Dry Scalp | Conditioning,41295477211203,2026-07-28 01:03:39
Vedix,Anti-Dandruff Shampoo,Hair Shampoo,Vardara Shampoo With Aloe Vera & Datura,Repairs damaged hair l Reduces dandruff,https://www.vedix.com/products/vardara-deep-conditioning-shampoo-with-dandruff-care-for-dry-hair-for-women-store,399.0,4.4,100 ml,Dry Scalp | Anti-Dandruff,41295494479939,2026-07-28 01:03:39
Vedix,Anti-Dandruff Shampoo,Hair Shampoo,Taritha Shampoo With Bhringraj & Pippali,Stimulates hair growth l Reduces dandruff,https://www.vedix.com/products/taritha-hairfall-shampoo-with-dandruff-care-for-women-store,399.0,4.4,100 ml,Normal Scalp | Anti-Dandruff,41295506735171,2026-07-28 01:03:39
Vedix,Keshamrut - Hair Oil,Hair Oil,Keshamrut Hair Oil With Bhringraj & Rosemary,Controls hair fall l Reduces dandruff,https://www.vedix.com/products/keshamrut-herbs-infused-hair-oil,549.0,4.7,200 ml,Hair Growth,42539971051587,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Ahuta Hair Oil With Banyan & Hibiscus,Controls hair fall l Strengthens roots,https://www.vedix.com/products/ahuta-root-stimulating-hair-oil-for-women,449.0,4.2,100 ml,Normal-Oily Scalp | Straight Hair,41295235711043,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Jeevath Hair Oil With Hibiscus & Bhringraj,Controls hair fall l Keeps hair dark & shiny,https://www.vedix.com/products/jeevath-root-stimulating-hair-oil-for-women,449.0,4.4,100 ml,Normal-Oily Scalp | Straight Hair,41295247966275,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Niryath Hair Oil With Lotus & Licorice,Controls hair fall l Stimulates hair growth,https://www.vedix.com/products/niryath-root-stimulating-hair-oil-for-women,449.0,4.4,100 ml,Dry Scalp | Straight Hair,41295263498307,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Vapra Hair Oil With Onion & Chamomile,Controls hair fall l Thickens hair,https://www.vedix.com/products/vapra-root-stimulating-hair-oil-for-women,449.0,4.4,100 ml,Dry Scalp | Wavy Hair,41295288205379,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Vanya Hair Oil With Fenugreek & Sesame,Controls hair fall l Adds softness & shine,https://www.vedix.com/products/vanya-root-stimulating-hair-oil-for-women,449.0,4.2,100 ml,Dry Scalp | Curly Hair,41295302262851,2026-07-28 01:03:48
Vedix,Oil,Hair Oil,Praya Hair Oil With Lotus & Neem,Controls hair fall l Reduces dandruff,https://www.vedix.com/products/praya-root-stimulating-hair-oil-for-women,449.0,4.2,100 ml,Oily Scalp | Wavy/Curly Hair,41295304753219,2026-07-28 01:03:48
Vedix,Hair Base Oil,Hair Oil,Shvedan Hair Oil With Castor & Sesame,Stimulates hair growth l Moisturizes scalp,https://www.vedix.com/products/vedix-shvedan-hair-fall-oil-for-dry-scalp-with-castor-sesame-olive,449.0,4.3,100 ml,Dry Scalp | Frizz Control,39488454230083,2026-07-28 01:03:48
Vedix,Hair Base Oil,Hair Oil,Viruj Hair Oil With Argan & Coconut,Controls hair fall l Adds smothness & shine,https://www.vedix.com/products/vedix-viruj-hair-fall-oil-for-normal-oily-scalp-with-coconut-argan-tea-tree,449.0,4.3,100 ml,Normal-Oily Scalp,39488453673027,2026-07-28 01:03:48
Vedix,Hair Base Oil,Hair Oil,Tavas Hair Oil With Almond & Jasmine,Controls hair fall l Reduces dandruff,https://www.vedix.com/products/vedix-tavas-non-sticky-hair-fall-oil-for-oily-scalp-with-coconut-jasmine-almond,359.0,4.2,100 ml,Oily Scalp,39488453541955,2026-07-28 01:03:48
Vedix,Anti-Dandruff Serum,Hair Serum,Pratiti Hair Serum With Hibiscus & Datura,Reduces dandruff l Soothes itchy scalp,https://www.vedix.com/products/pratiti-hair-re-growth-dandruff-control-serum-severe-dandruff-with-dhatura-japa-nimbuka,849.0,4.3,30 ml,Dandruff | Hair Growth,39532443041859,2026-07-28 01:03:55
Vedix,Anti-Hairfall Serum,Hair Serum,Samroha Hair Serum With Haritaki & Amla,Stimulates hair growth l Strengthens roots,https://www.vedix.com/products/samroha-advanced-hairgrowth-serum-for-women,599.0,4.4,50 ml,Hair Growth,40596485734467,2026-07-28 01:03:55
Vedix,Anti-Dandruff Serum,Hair Serum,Nibhida Hair Serum With Lotus & Neem,Reduces dandruff l Hydrates dry scalp,https://www.vedix.com/products/nibhida-advanced-hairgrowth-serum-x-dandruff-care-for-women,599.0,4.6,50 ml,Hairfall | Anti-Dandruff,40596486422595,2026-07-28 01:03:55
Vedix,Serum,Hair Serum,Vithan Advanced Hair Serum With Onion & Aloe Vera,Controls hair fall l Repairs damaged hair,https://www.vedix.com/products/vithan-advanced-hair-growth-serum,599.0,4.5,40 ml,Moderate Hairfall,42103302979651,2026-07-28 01:03:55
Vedix,Serum,Hair Serum,Vithan Pro Hair Serum With Aloe Vera & Bhringraj,Strenghtens roots l Thickens hair,https://www.vedix.com/products/vithan-pro-hair-growth-serum,599.0,4.4,40 ml,Severe Hairfall,42104329928771,2026-07-28 01:03:55
Vedix,Serum,Hair Serum,Nuyantra Advanced Hair Serum With Bhringraj & Bakuchi,Controls hair fall l Reduces dandruff,https://www.vedix.com/products/nuyantra-advanced-hair-growth-serum-x-dandruff-care,599.0,4.5,40 ml,Hairfall | Anti-Dandruff,42104331370563,2026-07-28 01:03:55
Vedix,Serum,Hair Serum,Nuyantra Pro Hair Serum With Neem & Tulasi,Reduces dandruff l Stimulates hair growth,https://www.vedix.com/products/nuyantra-pro-hair-growth-serum-x-dandruff-care,549.0,4.6,40 ml,Hairfall | Anti-Dandruff,42104332288067,2026-07-28 01:03:55
Vedix,Hair Conditioner,Hair Conditioner,Vartha Hair Conditioner With Rice Water & Mango Butter,Conditions hair strands l Reduces dryness & frizz,https://www.vedix.com/products/vartha-hydrating-no-frizz-hair-conditioner-1,449.0,4.4,100 ml,Frizz Control,39619399581763,2026-07-28 01:04:02
Vedix,Hair Pack,Hair Mask,Root Strenghtening Hair Pack With Onion & Fenugreek,Strengthens hair follicles l Stimulates hair growth,https://www.vedix.com/products/root-strengthening-hair-pack,799.0,4.3,100 gms,Hairfall,39708543713347,2026-07-28 01:04:12
Vedix,Hair Mask,Hair Mask,Druti Hair Mask With Jojoba & Aloe Vera,Controls hair fall l Stimulates hair growth,https://www.vedix.com/products/druti-sheacare-deep-nourish-hair-mask-for-dry-hair,599.0,4.3,200 gms,Dry Hair | Anti-Dandruff,39688367145027,2026-07-28 01:04:12
Vedix,Hair Mask,Hair Mask,Pratida Hair Mask With Coconut & Shea Butter,Repairs damaged hair l Adds smoothenss & shine,https://www.vedix.com/products/pratida-shine-rebound-hydrating-hair-mask-for-coloured-chemically-treated-hair,599.0,4.3,200 gms,Coloured Hair | Hydration,39688367177795,2026-07-28 01:04:12
Vedix,Hair Mask,Hair Mask,Niktha Hair Mask With Lemon &  Neem,Balances sebum production l Conditions hair & scalp,https://www.vedix.com/products/niktha-vitc-oil-balance-hair-mask-for-greasy-hair,599.0,4.4,200 gms,Oily Scalp | Anti-Dandruff,39688367210563,2026-07-28 01:04:12
Vedix,Leave On Cream,Hair Mask,Vartika Curl Cream With Murumuru Butter & Fenugreek,Retains curl definition l Adds softness & shine,https://www.vedix.com/products/vartika-curl-retention-leave-on-cream,599.0,4.5,100 gms,Curly Hair | Conditioning,42540028592195,2026-07-28 01:04:12
Vedix,Cleanser,Skin Cleanser,Anuva Face Wash With Oatmeal & Aloe Vera,Hydrates skin l Improves elasticity,https://www.vedix.com/products/vedix-anuva-moisturizing-face-wash-for-dry-skin-with-aloe-vera-oatmeal-vetiver,499.0,4.4,60 ml,Dry Skin,39668189691971,2026-07-28 01:04:19
Vedix,Cleanser,Skin Cleanser,Drithi Face Wash With Amla & Sariva,Hydrates skin l Fades blemishes,https://www.vedix.com/products/vedix-drithi-ultra-gentle-face-wash-for-normal-skin-with-amla-glycerin-sariva,499.0,4.3,60 ml,Normal Skin,39668190052419,2026-07-28 01:04:19
Vedix,Cleanser,Skin Cleanser,Anaha Face Wash With Lodhra & Neem,Hydrates skin l Reduces excess oil,https://www.vedix.com/products/vedix-anaha-deep-cleansing-face-wash-for-oily-skin-with-neem-niacinaminde-lodhra,499.0,4.3,60 ml,Oily Skin,39668190085187,2026-07-28 01:04:19
Vedix,Moisturizer,Skin Moisturizer,Sthavi Face Cream With Aloe Vera & Lotus,Makes skin soft l Supports barrier health,https://www.vedix.com/products/sthavi-hydroplenish-moisturizing-facial-cream-with-kamala-kumari-usheera,599.0,4.3,40 ml,Dry Skin,32198580928579,2026-07-28 01:04:28
Vedix,Moisturizer,Skin Moisturizer,Niraj Face Gel With Yashtimadhu & Sariva,Supports barrier health l Keeps skin fresh,https://www.vedix.com/products/niraj-hydromatte-oil-free-face-gel-for-women,499.0,4.4,40 ml,Normal Skin,41294810480707,2026-07-28 01:04:28
